Supplier type;Supplier;Invoice type;Invoice number;Invoice owner;Amount
;Fusce Aliquet Institute;Small invoice;112224;Hunter Garcia;9373000
;Vel PC;Partner;113518;Hunter Garcia;470000
;Vel PC;Partner;113519;Hunter Garcia;470000
;Vel PC;Partner;113520;Hunter Garcia;470000
;Feugiat Tellus Foundation;Small invoice;113523;Cullen Combs;1190000
;Ridiculus Foundation;Small invoice;113524;Hunter Garcia;6770000
;Metus Corporation;Small invoice;113525;Hunter Garcia;6960000
;Metus Corporation;Small invoice;113526;Hunter Garcia;190000
;Id Enim Curabitur Corporation;Small invoice;113527;Hunter Garcia;1710000
;Metus Corporation;Small invoice;113528;Hunter Garcia;140000
;Metus Corporation;Small invoice;113529;Hunter Garcia;340000
;Tellus Lorem Eu Associates;Small invoice;113530;Hunter Garcia;965000
;Suspendisse Company;Small invoice;113531;Hunter Garcia;6990000
;Ligula Nullam Enim PC;Small invoice;113532;Hunter Garcia;5440000
;Ligula Nullam Enim PC;Small invoice;113533;Hunter Garcia;1160000
;Ornare Sagittis Felis Inc.;Small invoice;113534;Hunter Garcia;8078000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113943;Macy Hurst;8780000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113944;Macy Hurst;2885000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113945;Macy Hurst;8886000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113946;Macy Hurst;3819000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113948;Macy Hurst;7927000
Machinery;Molestie Pharetra Nibh Ltd;Medium invoice;113949;Macy Hurst;10235000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113950;Macy Hurst;3251000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113951;Macy Hurst;8863000
Machinery;Molestie Pharetra Nibh Ltd;Medium invoice;113952;Macy Hurst;10128000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113953;Macy Hurst;5343000
Machinery;Molestie Pharetra Nibh Ltd;Medium invoice;113954;Macy Hurst;75465000
Machinery;Molestie Pharetra Nibh Ltd;Medium invoice;113955;Macy Hurst;11349000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113956;Macy Hurst;1338000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113957;Macy Hurst;1475000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113958;Macy Hurst;3575000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113959;Macy Hurst;5598000
Machinery;Molestie Pharetra Nibh Ltd;Medium invoice;113960;Macy Hurst;26585000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113961;Macy Hurst;2177000
Machinery;Molestie Pharetra Nibh Ltd;Medium invoice;113962;Macy Hurst;30481000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113963;Macy Hurst;1249000
Machinery;Molestie Pharetra Nibh Ltd;Medium invoice;113964;Macy Hurst;16426000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113965;Macy Hurst;2180000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113966;Macy Hurst;182000
Machinery;Molestie Pharetra Nibh Ltd;Medium invoice;113967;Macy Hurst;31367000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113968;Macy Hurst;7190000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113969;Macy Hurst;1429000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113970;Macy Hurst;1274000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113971;Macy Hurst;414000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113972;Macy Hurst;1490000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113973;Macy Hurst;3780000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113974;Macy Hurst;5920000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113975;Macy Hurst;2260000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113976;Macy Hurst;6560000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113977;Macy Hurst;4060000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113978;Macy Hurst;1137000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113979;Macy Hurst;3364000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113980;Macy Hurst;3870000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113981;Macy Hurst;3490000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113982;Macy Hurst;1965000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113983;Macy Hurst;7560000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113984;Macy Hurst;3403000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113985;Macy Hurst;6870000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113986;Macy Hurst;7290000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113987;Macy Hurst;6330000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113988;Macy Hurst;1118000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113989;Macy Hurst;1536000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113990;Macy Hurst;3980000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113991;Macy Hurst;8060000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113992;Macy Hurst;2326000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113993;Macy Hurst;3780000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113994;Macy Hurst;2272000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113995;Macy Hurst;6699000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113996;Macy Hurst;3780000
Machinery;Molestie Pharetra Nibh Ltd;High-level invoice;113997;Macy Hurst;110996000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113998;Macy Hurst;4992000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;113999;Macy Hurst;8920000
Machinery;Molestie Pharetra Nibh Ltd;High-level invoice;114000;Macy Hurst;143414000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;114001;Macy Hurst;4520000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;114002;Macy Hurst;8740000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;114003;Macy Hurst;1617000
Machinery;Molestie Pharetra Nibh Ltd;Medium invoice;114004;Macy Hurst;53193000
Machinery;Molestie Pharetra Nibh Ltd;Medium invoice;114005;Macy Hurst;23876000
Machinery;Molestie Pharetra Nibh Ltd;Medium invoice;114006;Macy Hurst;82827000
Machinery;Molestie Pharetra Nibh Ltd;Medium invoice;114007;Macy Hurst;27706000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;114009;Macy Hurst;1428000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;114010;Macy Hurst;276000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;114011;Macy Hurst;2657000
Machinery;Molestie Pharetra Nibh Ltd;Medium invoice;114012;Macy Hurst;14562000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;114013;Macy Hurst;1051000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;114014;Macy Hurst;5027000
Machinery;Molestie Pharetra Nibh Ltd;Small invoice;114015;Macy Hurst;1407000
;Aliquam PC;Small invoice;114016;Fiona Luna;440000
;Vulputate Ullamcorper Institute;Small invoice;114017;Fiona Luna;1669000
;Vulputate Ullamcorper Institute;Small invoice;114018;Gary Le;1744000
;Egestas Industries;Small invoice;114019;Fiona Luna;1290000
;Commodo Incorporated;Small invoice;114020;Gary Le;140000
;Aliquam PC;Small invoice;114021;Gary Le;380000
;Arcu Vestibulum Ante Corporation;Small invoice;114022;Gary Le;4998000
;Nunc Id Inc.;Medium invoice;114023;Gary Le;12138000
;Neque Et Institute;Small invoice;114024;Fiona Luna;6678000
;Neque Et Institute;Small invoice;114025;Fiona Luna;2740000
;Augue Ac Foundation;Small invoice;114037;Hunter Garcia;132000
;Ipsum Dolor Sit Industries;Medium invoice;114038;Hunter Garcia;16767000
;Eros Turpis Non Foundation;Small invoice;114039;Hunter Garcia;340000
;Aliquam Tincidunt Nunc Corporation;Small invoice;114040;Hunter Garcia;150000
;Ultricies Adipiscing Enim Inc.;Small invoice;114041;Hunter Garcia;8070000
;Dignissim Lacus Corporation;Small invoice;114042;Hunter Garcia;1130000
;A Ltd;Medium invoice;114043;Cullen Combs;27335000
;A Ltd;Small invoice;114044;Cullen Combs;3995000
;A Ltd;Small invoice;114045;Cullen Combs;62000
;Neque Company;Small invoice;114046;Hunter Garcia;5890000
;Neque Company;Small invoice;114047;Rebecca Love;1302000
;Purus Sapien Gravida Limited;Small invoice;114048;Rebecca Love;350000
;Enim Nunc Ut LLP;Small invoice;114050;Clio Butler;325000
;Tempus LLC;Medium invoice;114053;Alan Boyer;11995000
;Ipsum Sodales Inc.;Small invoice;114055;Fiona Luna;3680000
;Velit Dui Semper Incorporated;Small invoice;114056;;7140000
;Proin Mi LLP;Small invoice;114057;Alan Boyer;92000
;Eleifend Non LLC;Small invoice;114059;Gary Le;1904000
;Cursus Et Eros Consulting;Small invoice;114060;Fiona Luna;1047000
;Cursus Et Eros Consulting;Small invoice;114061;Fiona Luna;6937000
;Cursus Et Eros Consulting;Small invoice;114062;Fiona Luna;6937000
;Cursus Et Eros Consulting;Medium invoice;114063;Fiona Luna;20944000
;Nec Leo Morbi Company;Medium invoice;114064;Fiona Luna;12863000
;Diam At Pretium Institute;Small invoice;114065;Fiona Luna;445000
;Diam At Pretium Institute;Medium invoice;114066;Fiona Luna;25704000
;Eu Metus Associates;Small invoice;114068;Gary Le;714000
;Tempus Non Institute;Medium invoice;114069;Fiona Luna;10115000
;Et Company;Small invoice;114070;Clio Butler;9280000
;Turpis Non Foundation;Medium invoice;114071;Fiona Luna;54002000
